symboling,normalized-losses,fuel-type,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,peak-rpm,city-mpg,highway-mpg,aspiration=std,aspiration=turbo,"horsepower=horsepower (116, 288]","horsepower=horsepower (70, 95]","horsepower=horsepower (95, 116]","horsepower=horsepower [48, 70]","price=(10295, 16500]","price=(16500, 45400]","price=(7788, 10295]","price=[5118, 7788]"
0,188.0,1,1,3,2,0,101.2,176.8,64.8,54.3,2710,3,3,164,5,3.31,3.19,9.0,4250.0,21,28,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,188.0,1,0,3,2,0,101.2,176.8,64.8,54.3,2765,3,3,164,5,3.31,3.19,9.0,4250.0,21,28,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,115.0,1,0,3,2,0,103.5,189.0,66.9,55.7,3055,3,3,164,5,3.31,3.19,9.0,4250.0,20,25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,115.0,1,0,3,2,0,103.5,189.0,66.9,55.7,3230,3,3,209,5,3.62,3.39,8.0,5400.0,16,22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,115.0,1,1,3,2,0,103.5,193.8,67.9,53.7,3380,3,3,209,5,3.62,3.39,8.0,5400.0,16,22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,115.0,1,0,3,2,0,110.0,197.0,70.9,56.3,3505,3,3,209,5,3.62,3.39,8.0,5400.0,15,20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,121.0,1,1,2,1,0,88.4,141.1,60.3,53.2,1488,2,4,61,1,2.91,3.03,9.5,5100.0,47,53,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,98.0,1,1,2,1,0,94.5,155.9,63.6,52.0,1874,3,2,90,1,3.03,3.11,9.6,5400.0,38,43,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,81.0,1,0,3,1,0,94.5,158.8,63.6,52.0,1909,3,2,90,1,3.03,3.11,9.6,5400.0,38,43,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,118.0,1,1,2,1,0,93.7,157.3,63.8,50.8,1876,3,2,90,1,2.97,3.23,9.41,5500.0,37,41,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,118.0,1,1,2,1,0,93.7,157.3,63.8,50.8,1876,3,2,90,1,2.97,3.23,9.4,5500.0,31,38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,118.0,1,1,2,1,0,93.7,157.3,63.8,50.8,2128,3,2,98,5,3.03,3.39,7.6,5500.0,24,30,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,148.0,1,0,2,1,0,93.7,157.3,63.8,50.6,1967,3,2,90,1,2.97,3.23,9.4,5500.0,31,38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,148.0,1,0,3,1,0,93.7,157.3,63.8,50.6,1989,3,2,90,1,2.97,3.23,9.4,5500.0,31,38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,148.0,1,0,3,1,0,93.7,157.3,63.8,50.6,1989,3,2,90,1,2.97,3.23,9.4,5500.0,31,38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,148.0,1,0,3,1,0,93.7,157.3,63.8,50.6,2191,3,2,98,5,3.03,3.39,7.6,5500.0,24,30,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-1,110.0,1,0,4,1,0,103.3,174.6,64.6,59.8,2535,3,2,122,1,3.34,3.46,8.5,5000.0,24,30,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,145.0,1,1,2,1,0,95.9,173.2,66.3,50.2,2811,3,2,156,4,3.6,3.9,7.0,5000.0,19,24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,137.0,1,1,2,1,0,86.6,144.6,63.9,50.8,1713,3,2,92,0,2.91,3.41,9.6,4800.0,49,54,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,137.0,1,1,2,1,0,86.6,144.6,63.9,50.8,1819,3,2,92,0,2.91,3.41,9.2,6000.0,31,38,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,101.0,1,1,2,1,0,93.7,150.0,64.0,52.6,1837,3,2,79,0,2.91,3.07,10.1,5500.0,38,42,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,101.0,1,1,2,1,0,93.7,150.0,64.0,52.6,1940,3,2,92,0,2.91,3.41,9.2,6000.0,30,34,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,101.0,1,1,2,1,0,93.7,150.0,64.0,52.6,1956,3,2,92,0,2.91,3.41,9.2,6000.0,30,34,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,110.0,1,0,3,1,0,96.5,163.4,64.0,54.5,2010,3,2,92,0,2.91,3.41,9.2,6000.0,30,34,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,78.0,1,0,4,1,0,96.5,157.1,63.9,58.3,2024,3,2,92,0,2.92,3.41,9.2,6000.0,30,34,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,106.0,1,1,2,1,0,96.5,167.5,65.2,53.3,2236,3,2,110,0,3.15,3.58,9.0,5800.0,27,33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,106.0,1,1,2,1,0,96.5,167.5,65.2,53.3,2289,3,2,110,0,3.15,3.58,9.0,5800.0,27,33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,85.0,1,0,3,1,0,96.5,175.4,65.2,54.1,2304,3,2,110,0,3.15,3.58,9.0,5800.0,27,33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,85.0,1,0,3,1,0,96.5,175.4,62.5,54.1,2372,3,2,110,0,3.15,3.58,9.0,5800.0,27,33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,85.0,1,0,3,1,0,96.5,175.4,65.2,54.1,2465,3,2,110,5,3.15,3.58,9.0,5800.0,24,28,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,107.0,1,1,3,1,0,96.5,169.1,66.0,51.0,2293,3,2,110,1,3.15,3.58,9.1,5500.0,25,31,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,115.0,1,0,3,2,0,94.3,170.7,61.8,53.5,2337,3,2,111,1,3.31,3.23,8.5,4800.0,24,29,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,115.0,1,1,3,1,0,94.5,155.9,63.6,52.0,1874,3,2,90,1,3.03,3.11,9.6,5400.0,38,43,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,115.0,1,0,3,1,0,94.5,155.9,63.6,52.0,1909,3,2,90,1,3.03,3.11,9.6,5400.0,38,43,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,115.0,1,1,2,2,0,96.0,172.6,65.2,51.4,2734,3,2,119,7,3.43,3.23,9.2,5000.0,24,29,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,145.0,1,0,3,2,0,113.0,199.6,69.6,52.8,4066,0,3,258,5,3.63,4.17,8.1,4750.0,15,19,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,115.0,1,0,3,2,0,113.0,199.6,69.6,52.8,4066,0,3,258,5,3.63,4.17,8.1,4750.0,15,19,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,115.0,1,1,3,2,0,102.0,191.7,70.6,47.8,3950,5,5,326,5,3.54,2.76,11.5,5000.0,13,17,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,104.0,1,1,2,1,0,93.1,159.1,64.2,54.1,1890,3,2,91,1,3.03,3.15,9.0,5000.0,30,31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,104.0,1,1,2,1,0,93.1,159.1,64.2,54.1,1900,3,2,91,1,3.03,3.15,9.0,5000.0,31,38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,104.0,1,1,2,1,0,93.1,159.1,64.2,54.1,1905,3,2,91,1,3.03,3.15,9.0,5000.0,31,38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,113.0,1,0,3,1,0,93.1,166.8,64.2,54.1,1945,3,2,91,1,3.03,3.15,9.0,5000.0,31,38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,113.0,1,0,3,1,0,93.1,166.8,64.2,54.1,1950,3,2,91,1,3.08,3.15,9.0,5000.0,31,38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,150.0,1,1,2,2,0,95.3,169.0,65.7,49.6,2380,6,6,70,2,3.31,3.29,9.4,6000.0,17,23,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,150.0,1,1,2,2,0,95.3,169.0,65.7,49.6,2380,6,6,70,2,3.31,3.29,9.4,6000.0,17,23,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,150.0,1,1,2,2,0,95.3,169.0,65.7,49.6,2385,6,6,70,2,3.31,3.29,9.4,6000.0,17,23,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,150.0,1,1,2,2,0,95.3,169.0,65.7,49.6,2500,6,6,80,5,3.31,3.29,9.4,6000.0,16,23,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,129.0,1,1,2,1,0,98.8,177.8,66.5,53.7,2385,3,2,122,1,3.39,3.39,8.6,4800.0,26,32,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,115.0,1,0,3,1,0,98.8,177.8,66.5,55.5,2410,3,2,122,1,3.39,3.39,8.6,4800.0,26,32,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,129.0,1,1,2,1,0,98.8,177.8,66.5,53.7,2385,3,2,122,1,3.39,3.39,8.6,4800.0,26,32,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,115.0,1,0,3,1,0,98.8,177.8,66.5,55.5,2410,3,2,122,1,3.39,3.39,8.6,4800.0,26,32,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,115.0,0,0,3,1,0,98.8,177.8,66.5,55.5,2443,3,2,122,3,3.39,3.39,22.7,4650.0,36,42,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,115.0,1,0,2,1,0,98.8,177.8,66.5,55.5,2425,3,2,122,1,3.39,3.39,8.6,4800.0,26,32,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,118.0,1,0,3,2,0,104.9,175.0,66.1,54.4,2670,3,2,140,5,3.76,3.16,8.0,5000.0,19,27,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,115.0,0,0,3,2,0,104.9,175.0,66.1,54.4,2700,3,2,134,3,3.43,3.64,22.0,4200.0,31,39,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-1,93.0,0,0,3,2,0,110.0,190.9,70.3,56.5,3515,3,1,183,3,3.58,3.64,21.5,4350.0,22,25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-1,93.0,0,0,4,2,0,110.0,190.9,70.3,58.7,3750,3,1,183,3,3.58,3.64,21.5,4350.0,22,25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,93.0,0,1,1,2,0,106.7,187.5,70.3,54.9,3495,3,1,183,3,3.58,3.64,21.5,4350.0,22,25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-1,93.0,0,0,3,2,0,115.6,202.6,71.7,56.3,3770,3,1,183,3,3.58,3.64,21.5,4350.0,22,25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-1,115.0,1,0,3,2,0,115.6,202.6,71.7,56.5,3740,5,0,234,5,3.46,3.1,8.3,4750.0,16,18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,142.0,1,1,0,2,0,96.6,180.3,70.5,50.8,3685,5,0,234,5,3.46,3.1,8.3,4750.0,16,18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,115.0,1,0,3,2,0,120.9,208.1,71.7,56.7,3900,5,0,308,5,3.8,3.35,8.0,4500.0,14,16,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,115.0,1,1,1,2,0,112.0,199.2,72.0,55.4,3715,5,0,304,5,3.8,3.35,8.0,4500.0,14,16,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,115.0,1,1,2,2,0,102.7,178.4,68.0,54.8,2910,3,2,140,5,3.78,3.12,8.0,5000.0,19,24,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,161.0,1,1,2,1,0,93.7,157.3,64.4,50.8,1918,3,2,92,1,2.97,3.23,9.4,5500.0,37,41,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,161.0,1,1,2,1,0,93.7,157.3,64.4,50.8,1944,3,2,92,1,2.97,3.23,9.4,5500.0,31,38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,161.0,1,1,2,1,0,93.7,157.3,64.4,50.8,2004,3,2,92,1,2.97,3.23,9.4,5500.0,31,38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,161.0,1,1,2,1,0,93.0,157.3,63.8,50.8,2145,3,2,98,6,3.03,3.39,7.6,5500.0,24,30,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,153.0,1,1,2,1,0,96.3,173.0,65.4,49.4,2370,3,2,110,6,3.17,3.46,7.5,5500.0,23,30,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3,153.0,1,1,2,1,0,96.3,173.0,65.4,49.4,2328,3,2,122,1,3.35,3.46,8.5,5000.0,25,32,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,115.0,1,1,2,1,0,95.9,173.2,66.3,50.2,2833,3,2,156,6,3.58,3.86,7.0,5000.0,19,24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,115.0,1,1,2,1,0,95.9,173.2,66.3,50.2,2921,3,2,156,6,3.59,3.86,7.0,5000.0,19,24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,115.0,1,1,2,1,0,95.9,173.2,66.3,50.2,2926,3,2,156,6,3.59,3.86,7.0,5000.0,19,24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,125.0,1,0,3,1,0,96.3,172.4,65.4,51.6,2365,3,2,122,1,3.35,3.46,8.5,5000.0,25,32,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,125.0,1,0,3,1,0,96.3,172.4,65.4,51.6,2405,3,2,122,1,3.35,3.46,8.5,5000.0,25,32,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,125.0,1,0,3,1,0,96.3,172.4,65.4,51.6,2403,3,2,110,6,3.17,3.46,7.5,5500.0,23,30,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-1,137.0,1,0,3,1,0,96.3,172.4,65.4,51.6,2403,3,2,110,6,3.17,3.46,7.5,5500.0,23,30,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,128.0,1,1,3,1,0,94.5,165.3,63.8,54.5,1889,3,2,97,1,3.15,3.29,9.4,5200.0,31,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,128.0,0,1,3,1,0,94.5,165.3,63.8,54.5,2017,3,2,103,3,2.99,3.47,21.9,4800.0,45,50,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,128.0,1,1,3,1,0,94.5,165.3,63.8,54.5,1918,3,2,97,1,3.15,3.29,9.4,5200.0,31,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,122.0,1,0,3,1,0,94.5,165.3,63.8,54.5,1938,3,2,97,1,3.15,3.29,9.4,5200.0,31,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,103.0,1,0,4,1,0,94.5,170.2,63.8,53.5,2024,3,2,97,1,3.15,3.29,9.4,5200.0,31,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,128.0,1,1,3,1,0,94.5,165.3,63.8,54.5,1951,3,2,97,1,3.15,3.29,9.4,5200.0,31,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,128.0,1,1,2,1,0,94.5,165.6,63.8,53.3,2028,3,2,97,1,3.15,3.29,9.4,5200.0,31,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,122.0,1,0,3,1,0,94.5,165.3,63.8,54.5,1971,3,2,97,1,3.15,3.29,9.4,5200.0,31,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,103.0,1,0,4,1,0,94.5,170.2,63.8,53.5,2037,3,2,97,1,3.15,3.29,9.4,5200.0,31,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,168.0,1,1,1,1,0,95.1,162.4,63.8,53.3,2008,3,2,97,1,3.15,3.29,9.4,5200.0,31,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,106.0,1,0,2,1,0,97.2,173.4,65.2,54.7,2324,3,2,120,1,3.33,3.47,8.5,5200.0,27,34,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,106.0,1,0,3,1,0,97.2,173.4,65.2,54.7,2302,3,2,120,1,3.33,3.47,8.5,5200.0,27,34,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,128.0,1,0,3,1,0,100.4,181.7,66.5,55.1,3095,5,3,181,5,3.43,3.27,9.0,5200.0,17,22,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,108.0,1,0,4,1,0,100.4,184.6,66.5,56.1,3296,5,3,181,5,3.43,3.27,9.0,5200.0,17,22,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,108.0,1,0,3,1,0,100.4,184.6,66.5,55.1,3060,5,3,181,5,3.43,3.27,9.0,5200.0,19,25,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,194.0,1,1,2,2,0,91.3,170.7,67.9,49.7,3071,5,3,181,5,3.43,3.27,9.0,5200.0,19,25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,194.0,1,1,2,2,0,91.3,170.7,67.9,49.7,3139,5,3,181,5,3.43,3.27,7.8,5200.0,17,23,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,231.0,1,1,2,2,0,99.2,178.5,67.9,49.7,3139,5,3,181,5,3.43,3.27,9.0,5200.0,19,25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,161.0,1,0,3,2,0,107.9,186.7,68.4,56.7,3020,2,2,120,5,3.46,3.19,8.4,5000.0,19,24,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,161.0,0,0,3,2,0,107.9,186.7,68.4,56.7,3197,2,2,152,3,3.7,3.52,21.0,4150.0,28,33,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,115.0,1,0,4,2,0,114.2,198.9,68.4,58.7,3230,2,2,120,5,3.46,3.19,8.4,5000.0,19,24,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,115.0,0,0,4,2,0,114.2,198.9,68.4,58.7,3430,2,2,152,3,3.7,3.52,21.0,4150.0,25,25,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,161.0,1,0,3,2,0,107.9,186.7,68.4,56.7,3075,2,2,120,5,3.46,2.19,8.4,5000.0,19,24,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,161.0,0,0,3,2,0,107.9,186.7,68.4,56.7,3252,2,2,152,3,3.7,3.52,21.0,4150.0,28,33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,115.0,1,0,4,2,0,114.2,198.9,68.4,56.7,3285,2,2,120,5,3.46,2.19,8.4,5000.0,19,24,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,115.0,0,0,4,2,0,114.2,198.9,68.4,58.7,3485,2,2,152,3,3.7,3.52,21.0,4150.0,25,25,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,161.0,1,0,3,2,0,107.9,186.7,68.4,56.7,3075,2,2,120,5,3.46,3.19,8.4,5000.0,19,24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,161.0,0,0,3,2,0,107.9,186.7,68.4,56.7,3252,2,2,152,3,3.7,3.52,21.0,4150.0,28,33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,161.0,1,0,3,2,0,108.0,186.7,68.3,56.0,3130,2,2,134,5,3.61,3.21,7.0,5600.0,18,24,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,119.0,1,1,2,1,0,93.7,157.3,63.8,50.8,1918,3,2,90,1,2.97,3.23,9.4,5500.0,37,41,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,119.0,1,1,2,1,0,93.7,157.3,63.8,50.8,2128,3,2,98,6,3.03,3.39,7.6,5500.0,24,30,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,154.0,1,0,2,1,0,93.7,157.3,63.8,50.6,1967,3,2,90,1,2.97,3.23,9.4,5500.0,31,38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,154.0,1,0,3,1,0,93.7,167.3,63.8,50.8,1989,3,2,90,1,2.97,3.23,9.4,5500.0,31,38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,154.0,1,0,3,1,0,93.7,167.3,63.8,50.8,2191,3,2,98,1,2.97,3.23,9.4,5500.0,31,38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-1,74.0,1,0,4,1,0,103.3,174.6,64.6,59.8,2535,3,2,122,1,3.35,3.46,8.5,5000.0,24,30,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,115.0,1,1,2,2,0,95.9,173.2,66.3,50.2,2818,3,2,156,6,3.59,3.86,7.0,5000.0,19,24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,186.0,1,1,2,2,0,94.5,168.9,68.3,50.2,2778,3,2,151,5,3.94,3.11,9.5,5500.0,19,27,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,115.0,1,1,1,2,1,89.5,168.9,65.0,51.6,2756,4,3,194,5,3.74,2.9,9.5,5900.0,17,25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,115.0,1,1,1,2,1,89.5,168.9,65.0,51.6,2756,4,3,194,5,3.74,2.9,9.5,5900.0,17,25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,115.0,1,1,0,2,1,89.5,168.9,65.0,51.6,2800,4,3,194,5,3.74,2.9,9.5,5900.0,17,25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
